,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,2.6407812300669424,47.0,17.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6784.528239512212
1,6.28,54.550000000000004,2.6393199950661757,47.0,17.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6765.448882388002
2,6.48,54.550000000000004,2.638771000823368,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,2.638167402723272,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,2.6380268901412216,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6708.276122554637
5,7.08,54.550000000000004,2.6355669577522978,47.0,13.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6689.240677771988
6,7.28,54.550000000000004,2.6398480848603225,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6670.216492425294
7,7.48,54.550000000000004,2.650218852287786,48.0,16.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6651.203681378791
8,7.680000000000001,54.550000000000004,2.6529058953253237,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,2.6548810377264465,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,2.657173061194217,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,2.6816091169552214,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6575.2685194602
12,8.48,54.550000000000004,2.7281512301083244,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6556.314345088303
13,8.68,54.550000000000004,2.8616600231264813,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6537.372259759216
14,8.88,54.550000000000004,2.8648441741998405,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6518.44238701219
15,9.08,54.550000000000004,3.009425040662204,68.0,0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6499.524851693915
16,9.280000000000001,54.550000000000004,3.113008217326599,77.0,3.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6480.61977997626
17,9.48,54.550000000000004,3.157887764840246,77.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6461.727299374223
18,9.68,54.550000000000004,3.1334630726845627,78.0,7.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6442.847538764135
19,9.88,54.550000000000004,3.1372069220694465,78.0,7.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6423.980628402086
20,6.08,54.35,2.635081561961981,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6773.351264665047
21,6.28,54.35,2.633339917161206,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6754.257477689186
22,6.48,54.35,2.6337921430738658,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6735.174499229721
23,6.680000000000001,54.35,2.633057488984811,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6716.1024395863315
24,6.880000000000001,54.35,2.632885752364728,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6697.041410190426
25,7.08,54.35,2.6308590925631803,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6677.991523620587
26,7.28,54.35,2.6365251873890663,48.0,7.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6658.952893618197
27,7.48,54.35,2.6442068318630523,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6639.925635103302
