,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,2.5266326036057327,48.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6784.528239512212
1,6.28,54.550000000000004,2.525171368604966,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6765.448882388002
2,6.48,54.550000000000004,2.5241236633367117,48.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6746.380336823886
3,6.680000000000001,54.550000000000004,2.5235200652366157,48.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6727.322713082764
4,6.880000000000001,54.550000000000004,2.5233795526545655,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6708.276122554637
5,7.08,54.550000000000004,2.521715254721969,47.0,12.999999999999623,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6689.240677771988
6,7.28,54.550000000000004,2.524490945110727,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6670.216492425294
7,7.48,54.550000000000004,2.534471672711218,48.0,16.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6651.203681378791
8,7.680000000000001,54.550000000000004,2.5364362137599854,49.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6632.202360686423
9,7.880000000000001,54.550000000000004,2.538411356161108,49.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6613.212647608014
10,8.08,54.550000000000004,2.540703379628879,49.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6594.2346606256315
11,8.280000000000001,54.550000000000004,2.5664241710447504,51.0,9.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6575.2685194602
12,8.48,54.550000000000004,2.606059575214826,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6556.314345088303
13,8.68,54.550000000000004,2.7237221326956713,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6537.372259759216
14,8.88,54.550000000000004,2.726906283769031,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6518.44238701219
15,9.08,54.550000000000004,2.8536211134277587,72.0,9.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6499.524851693915
16,9.280000000000001,54.550000000000004,2.9409275181041026,77.0,3.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6480.61977997626
17,9.48,54.550000000000004,2.979848337790432,81.0,1.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6461.727299374223
18,9.68,54.550000000000004,2.959462519426641,78.0,7.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6442.847538764135
19,9.88,54.550000000000004,2.9632063688115244,78.0,7.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6423.980628402086
20,6.08,54.35,2.5197244222123865,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6773.351264665047
21,6.28,54.35,2.5179827774116106,48.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6754.257477689186
22,6.48,54.35,2.518361870856714,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6735.174499229721
23,6.680000000000001,54.35,2.517627216767659,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6716.1024395863315
24,6.880000000000001,54.35,2.5174554801475764,48.0,3.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6697.041410190426
25,7.08,54.35,6.554091019628492,0.0,3521.0,83.0,80.0,147303.4580585147,9,5.0,Ammonia,1495322.7992280829,6677.991523620587
26,7.28,54.35,2.5209974052151707,48.0,7.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6658.952893618197
27,7.48,54.35,2.5277371502977144,49.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6639.925635103302
28,7.680000000000001,54.35,2.5329392597849893,49.0,6.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6620.90986419065
29,7.880000000000001,54.35,2.5352466212224396,49.0,6.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6601.905698205976
30,8.08,54.35,2.5437100775347083,50.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6582.913255702464
31,8.280000000000001,54.35,2.5648470165230237,52.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6563.932656477468
32,8.48,54.35,2.6006356213618886,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6544.964021589431
33,8.68,54.35,2.716044184213568,63.0,5.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6526.0074733750225
34,8.88,54.35,2.7195287856869186,63.0,5.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6507.0631354665375
35,9.08,54.35,2.8565658968132,73.0,6.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6488.131132809474
36,9.280000000000001,54.35,2.962355689558318,80.0,0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6469.211591680404
37,9.48,54.35,3.0299475883274565,87.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6450.30463970504
38,9.68,54.35,3.0311286592418183,82.0,2.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6431.410405876548
39,9.88,54.35,3.035077807228308,82.0,2.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6412.529020574139
40,6.08,54.15,2.529347706098556,49.0,13.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6762.199072208202
41,6.28,54.15,2.5206417226256033,49.0,1.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6743.090796234639
42,6.48,54.15,2.5212510721429195,49.0,5.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6723.993325086492
43,6.680000000000001,54.15,2.517578374827116,49.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6704.906769095747
44,6.880000000000001,54.15,2.5173582610060072,49.0,-0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6685.831239730702
45,7.08,54.15,2.517869146029512,49.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6666.766849611495
46,7.28,54.15,2.5278358056685954,49.0,16.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6647.713712525836
47,7.48,54.15,2.539110348652183,51.0,0.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6628.671943444957
48,7.680000000000001,54.15,2.543626663929295,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6609.641658539756
49,7.880000000000001,54.15,2.5463637618750954,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6590.622975197191
50,8.08,54.15,2.555998280811737,51.0,16.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6571.616012036838
51,8.280000000000001,54.15,2.581720203878232,54.0,7.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6552.620888927734
52,8.48,54.15,2.623160318805306,54.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6533.637727005376
53,8.68,54.15,2.7442232526590264,62.0,5.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6514.666648689013
54,8.88,54.15,2.7480189634446384,62.0,5.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6495.707777699108
55,9.08,54.15,2.903376113784416,74.0,6.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6476.761239075094
56,9.280000000000001,54.15,3.0128924527472067,81.0,6.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6457.827159193312
57,9.48,54.15,3.097295681775702,90.0,3.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6438.905665785224
58,9.68,54.15,3.0955651832995645,89.0,9.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6419.99688795586
59,9.88,54.15,3.099705094377717,89.0,9.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6401.1009562025065
60,6.08,53.95,2.5396824132004396,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6751.071837030415
61,6.28,53.95,2.532770013934376,51.0,2.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6731.949013392396
62,6.48,53.95,2.5334286671399986,51.0,7.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6712.836990239163
63,6.680000000000001,53.95,2.5305144779199167,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6693.7358779304695
64,6.880000000000001,53.95,2.5302095147468555,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6674.645787966927
65,7.08,53.95,2.543146962098946,48.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6655.566833005614
66,7.28,53.95,2.559866431524655,54.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6636.499126875916
67,7.48,53.95,2.574448357179565,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6617.442784595566
68,7.680000000000001,53.95,2.5869999574904012,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6598.397922386896
69,7.880000000000001,53.95,2.5902813781956513,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6579.364657693315
70,8.08,53.95,2.6015078387390416,52.0,15.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6560.343109196008
71,8.280000000000001,53.95,2.6356873182262546,56.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6541.333396830844
72,8.48,53.95,2.7011812355270535,63.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6522.33564180553
73,8.68,53.95,2.810733087345342,70.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6503.34996661697
74,8.88,53.95,2.814825923004179,70.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6484.376495068886
75,9.08,53.95,2.9925016529289388,84.0,8.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6465.4153522896495
76,9.280000000000001,53.95,3.097866875921184,91.0,0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6446.466664750374
77,9.48,53.95,3.1633553503350944,97.0,12.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6427.530560283235
78,9.68,53.95,3.1574258594297575,96.0,10.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6408.607168100047
79,9.88,53.95,3.161729763790585,96.0,10.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6389.696618811072
80,6.08,53.75,2.5345945353378045,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6739.969734594186
81,6.28,53.75,2.5268970042884087,51.0,2.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6720.832305111451
82,6.48,53.75,2.5267257816216135,51.0,7.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6701.7056711209025
83,6.680000000000001,53.75,2.5231449111549797,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6682.589943005471
84,6.880000000000001,53.75,2.5226539073255,51.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6663.485232293434
85,7.08,53.75,2.536004286898855,48.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6644.391651674125
86,7.28,53.75,2.5534914084972797,54.0,4.0,22.0,22.0,39044.290087799076,9,5.0,Ammonia,396350.6214821425,6625.309315013894
87,7.48,53.75,2.568900954994832,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6606.238337372208
88,7.680000000000001,53.75,2.582195147214714,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6587.178835018038
89,7.880000000000001,53.75,2.5860992007220913,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6568.130925446432
90,8.08,53.75,2.5978370454389914,52.0,15.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6549.094727395299
91,8.280000000000001,53.75,2.6324362553364304,56.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6530.070360862445
92,8.48,53.75,2.698277324738426,63.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6511.057947122833
93,8.68,53.75,2.8081194234035074,70.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6492.057608746055
94,8.88,53.75,2.812457771118663,70.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6473.06946961407
95,9.08,53.75,2.9903435608460027,84.0,8.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6454.093654939143
96,9.280000000000001,53.75,3.09589045852651,91.0,0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6435.130291282073
97,9.48,53.75,3.1615376327101075,97.0,12.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6416.179506570626
98,9.68,53.75,3.1557480450827287,96.0,10.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6397.241430118238
99,9.88,53.75,3.1601763163466265,96.0,10.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6378.316192642971
100,6.08,53.550000000000004,2.563639177047609,50.0,9.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6728.892940935161
101,6.28,53.550000000000004,2.5635081536794355,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6709.740847921206
102,6.48,53.550000000000004,2.577610002666982,53.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6690.59954475262
103,6.680000000000001,53.550000000000004,2.5967094959520636,55.0,8.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6671.469141830832
104,6.880000000000001,53.550000000000004,2.5955377350402444,55.0,8.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6652.349750707073
105,7.08,53.550000000000004,2.6535765558630455,57.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6633.2414840982065
106,7.28,53.550000000000004,2.6938742524700228,61.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6614.14445590273
107,7.48,53.550000000000004,2.7345425502983267,65.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6595.058781217046
108,7.680000000000001,53.550000000000004,2.7662303999590674,68.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6575.9845763518915
109,7.880000000000001,53.550000000000004,2.7706427361701857,68.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6556.921958849038
110,8.08,53.550000000000004,2.781659421167476,68.0,12.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6537.871047498188
111,8.280000000000001,53.550000000000004,2.825108421893407,73.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6518.831962354108
112,8.48,53.550000000000004,2.889380638445789,75.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6499.8048247539955
113,8.68,53.550000000000004,3.006490726195101,87.0,6.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6480.789757335078
114,8.88,53.550000000000004,3.010979635122812,87.0,6.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6461.786884052449
115,9.08,53.550000000000004,3.130125472427529,95.0,6.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6442.79633019715
116,9.280000000000001,53.550000000000004,3.1951174726726657,102.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6423.818222414497
117,9.48,53.550000000000004,3.2103709729834358,103.0,3.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6404.852688722635
118,9.68,53.550000000000004,3.2041166130256986,102.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6385.899858531395
119,9.88,53.550000000000004,3.208618579953888,102.0,0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6366.959862661346
120,6.08,53.35,2.700411538824141,61.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6717.841632661468
121,6.28,53.35,2.7233148630786643,64.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6698.67481893087
122,6.48,53.35,2.7523385846835575,67.0,11.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6679.518788742399
123,6.680000000000001,53.35,2.772965737974212,70.0,6.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6660.373652511235
124,6.880000000000001,53.35,2.771406892188171,70.0,6.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6641.239521806804
125,7.08,53.35,2.8491975873976148,74.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6622.116509368659
126,7.28,53.35,2.9080552065622483,80.0,0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6603.004729122623
127,7.48,53.35,2.9638605989903297,81.0,1.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6583.9042961971145
128,7.680000000000001,53.35,3.009139733384253,85.0,9.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6564.815326939712
129,7.880000000000001,53.35,3.0136180583722054,85.0,9.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6545.737938933936
130,8.08,53.35,3.0401683486330584,87.0,16.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6526.672251016266
131,8.280000000000001,53.35,3.073996319353026,91.0,3.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6507.618383293373
132,8.48,53.35,3.1315302651107313,97.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6488.576457159602
133,8.68,53.35,3.194579334073687,98.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6469.5465953146795
134,8.88,53.35,3.1990922468676,98.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6450.528921781668
135,9.08,53.35,3.2597210339443365,105.0,-0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6431.52356192517
136,9.280000000000001,53.35,3.2503953861714923,103.0,8.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6412.530642469764
137,9.48,53.35,3.2414190482704024,102.0,-0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6393.550291518709
138,9.68,53.35,3.2347993769311296,105.0,6.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6374.582638572888
139,9.88,53.35,3.239317817040025,105.0,6.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6355.627814550032
140,6.08,53.15,2.863209974231738,74.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6706.815986952923
141,6.28,53.15,2.918057266106536,75.0,14.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6687.634395828735
142,6.48,53.15,2.9303798107745527,77.0,9.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6668.4635812848355
143,6.680000000000001,53.15,2.938411272604535,78.0,11.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6649.303653745379
144,6.880000000000001,53.15,2.9378461600906864,78.0,11.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6630.154724793129
145,7.08,53.15,2.9786568707837207,83.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6611.016907185461
146,7.28,53.15,3.023057775478346,83.0,-0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6591.890314870586
147,7.48,53.15,3.072578618722087,88.0,1.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6572.775063003984
148,7.680000000000001,53.15,3.1214164534669644,93.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6553.671267965065
149,7.880000000000001,53.15,3.1254732779743546,93.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6534.579047374054
150,8.08,53.15,3.168304716812194,97.0,4.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6515.498520109123
151,8.280000000000001,53.15,3.202111153287238,100.0,8.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6496.429806323715
