,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,2.986439785741577,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6784.528239512212
1,6.28,54.550000000000004,2.9849785507408106,44.0,-0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6765.448882388002
2,6.48,54.550000000000004,2.9839308454725564,44.0,-0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,2.9833272473724604,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,2.9831867347904097,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6708.276122554637
5,7.08,54.550000000000004,2.983513878411334,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6689.240677771988
6,7.28,54.550000000000004,2.985643049230009,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6670.216492425294
7,7.48,54.550000000000004,2.999637115562523,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6651.203681378791
8,7.680000000000001,54.550000000000004,3.0012533563285144,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,3.0032284987296367,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,3.0077999380794513,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,3.043170058312547,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6575.2685194602
12,8.48,54.550000000000004,3.109017251414988,47.0,23.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6556.314345088303
13,8.68,54.550000000000004,3.2899529105884806,55.0,22.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6537.372259759216
14,8.88,54.550000000000004,3.29313706166184,55.0,22.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6518.44238701219
15,9.08,54.550000000000004,3.4916331075895073,62.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6499.524851693915
16,9.280000000000001,54.550000000000004,3.6276471259153142,70.0,2.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6480.61977997626
17,9.48,54.550000000000004,3.6938474012947076,71.0,0.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6461.727299374223
18,9.68,54.550000000000004,3.6532980315000776,71.0,5.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6442.847538764135
19,9.88,54.550000000000004,3.6570418808849614,71.0,5.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6423.980628402086
20,6.08,54.35,2.9808765263316688,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6773.351264665047
21,6.28,54.35,2.9798073425226117,44.0,3.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6754.257477689186
22,6.48,54.35,2.9812331386638458,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6735.174499229721
23,6.680000000000001,54.35,2.9804984845747904,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6716.1024395863315
24,6.880000000000001,54.35,2.9803267479547086,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6697.041410190426
25,7.08,54.35,2.976018937212368,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6677.991523620587
26,7.28,54.35,2.985712583944957,44.0,13.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6658.952893618197
27,7.48,54.35,2.9948337087482866,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6639.925635103302
28,7.680000000000001,54.35,2.9994393796609495,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6620.90986419065
29,7.880000000000001,54.35,3.001746741098399,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6601.905698205976
30,8.08,54.35,3.013126752451089,44.99999999999999,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6582.913255702464
31,8.280000000000001,54.35,3.0468250610937035,47.0,14.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6563.932656477468
32,8.48,54.35,3.104527791460657,48.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6544.964021589431
33,8.68,54.35,3.2781238745485486,55.0,12.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6526.0074733750225
34,8.88,54.35,3.281608476021899,55.0,12.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6507.0631354665375
35,9.08,54.35,3.49411755488227,65.0,8.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6488.131132809474
36,9.280000000000001,54.35,3.6595477758349126,72.0,7.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6469.211591680404
37,9.48,54.35,3.770895032870268,75.0,23.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6450.30463970504
38,9.68,54.35,3.7703567116910484,78.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6431.410405876548
39,9.88,54.35,3.774305859677538,78.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6412.529020574139
40,6.08,54.15,2.9933587516595517,45.0,6.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6762.199072208202
41,6.28,54.15,2.987190567319261,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6743.090796234639
42,6.48,54.15,2.986953983792356,45.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6723.993325086492
