,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,2.750615187435123,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6784.528239512212
1,6.28,54.550000000000004,2.749153952434356,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6765.448882388002
2,6.48,54.550000000000004,2.748106247166102,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,2.747502649066006,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,2.7473621364839556,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6708.276122554637
5,7.08,54.550000000000004,2.7476892801048796,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6689.240677771988
6,7.28,54.550000000000004,2.749698186737878,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6670.216492425294
7,7.48,54.550000000000004,2.762447244980748,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6651.203681378791
8,7.680000000000001,54.550000000000004,2.7640634857467394,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,2.7660386281478617,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,2.7683306516156327,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,2.7964113955340006,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6575.2685194602
12,8.48,54.550000000000004,2.850242885001832,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6556.314345088303
13,8.68,54.550000000000004,2.9995979135573023,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6537.372259759216
14,8.88,54.550000000000004,3.002782064630662,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6518.44238701219
15,9.08,54.550000000000004,3.1650315107090203,68.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6499.524851693915
16,9.280000000000001,54.550000000000004,3.2808541169656062,73.0,7.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6480.61977997626
17,9.48,54.550000000000004,3.3311628145030583,77.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6461.727299374223
18,9.68,54.550000000000004,3.303292267013372,74.0,11.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6442.847538764135
19,9.88,54.550000000000004,3.3070361163982556,74.0,11.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6423.980628402086
20,6.08,54.35,2.744931663839537,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6773.351264665047
21,6.28,54.35,2.7438023479376414,44.0,3.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6754.257477689186
22,6.48,54.35,2.744987615707523,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6735.174499229721
23,6.680000000000001,54.35,2.7442529616184674,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6716.1024395863315
24,6.880000000000001,54.35,2.7440812249983852,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6697.041410190426
25,7.08,54.35,2.740194338905914,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6677.991523620587
26,7.28,54.35,2.749106268431604,44.0,13.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6658.952893618197
27,7.48,54.35,2.755364422284468,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6639.925635103302
28,7.680000000000001,54.35,2.7597295648257774,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6620.90986419065
29,7.880000000000001,54.35,2.7620369262632276,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6601.905698205976
30,8.08,54.35,2.7726352204090188,45.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6582.913255702464
31,8.280000000000001,54.35,2.7992245490154204,47.0,14.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6563.932656477468
32,8.48,54.35,2.8448189311488936,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6544.964021589431
33,8.68,54.35,2.994493487434557,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6526.0074733750225
34,8.88,54.35,2.9979780889079084,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6507.0631354665375
35,9.08,54.35,3.171431059043803,65.0,8.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6488.131132809474
36,9.280000000000001,54.35,3.3081277984928485,72.0,7.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6469.211591680404
37,9.48,54.35,3.3969462120713696,79.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6450.30463970504
38,9.68,54.35,3.3960314296381777,82.0,2.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6431.410405876548
39,9.88,54.35,3.399980577624667,82.0,2.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6412.529020574139
40,6.08,54.15,2.7535286726387027,45.0,6.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6762.199072208202
41,6.28,54.15,2.7477212808554423,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6743.090796234639
42,6.48,54.15,2.7473644331428613,45.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6723.993325086492
43,6.680000000000001,54.15,2.7452056468138695,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6704.906769095747
44,6.880000000000001,54.15,2.744985532992761,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6685.831239730702
45,7.08,54.15,2.7454964180162658,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6666.766849611495
46,7.28,54.15,2.757109248825682,45.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6647.713712525836
47,7.48,54.15,2.770455521886096,46.0,15.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6628.671943444957
48,7.680000000000001,54.15,2.776352457203118,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6609.641658539756
49,7.880000000000001,54.15,2.7790895551489183,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6590.622975197191
50,8.08,54.15,2.787050140193628,47.0,8.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6571.616012036838
51,8.280000000000001,54.15,2.8213901030835964,49.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6552.620888927734
52,8.48,54.15,2.872770655192354,50.0,2.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6533.637727005376
53,8.68,54.15,3.030562556877514,58.0,15.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6514.666648689013
54,8.88,54.15,3.0343582676631256,58.0,15.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6495.707777699108
55,9.08,54.15,3.2313378358019653,70.0,8.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6476.761239075094
56,9.280000000000001,54.15,3.374412917771941,77.0,17.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6457.827159193312
57,9.48,54.15,3.4846888769031295,86.0,3.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6438.905665785224
58,9.68,54.15,3.482150696716944,85.0,13.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6419.99688795586
59,9.88,54.15,3.486290607795096,85.0,13.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6401.1009562025065
