,longitude,latitude,Cost_per_kg
0,2.7800000000000002,58.35,4.100625411282094
1,3.7800000000000002,58.35,4.019456843802434
2,4.78,58.35,3.9827585464565205
3,5.78,58.35,4.147997388282841
4,6.78,58.35,5.275503819037593
5,7.78,58.35,5.340766857796832
6,2.7800000000000002,57.35,3.989693898520515
7,3.7800000000000002,57.35,3.863571719948244
8,4.78,57.35,3.74418128381669
9,5.78,57.35,3.6174999239677197
10,6.78,57.35,3.548616362487632
11,7.78,57.35,3.555420916651463
12,2.7800000000000002,56.35,3.824110332455233
13,3.7800000000000002,56.35,3.7371758329569986
14,4.78,56.35,3.619652790229198
15,5.78,56.35,3.539438608865405
16,6.78,56.35,3.513577828327774
17,7.78,56.35,3.5378196723220765
18,2.7800000000000002,55.35,3.644781247687673
19,3.7800000000000002,55.35,3.5588538728696135
20,4.78,55.35,3.4570307127886784
21,5.78,55.35,3.3972732435014508
22,6.78,55.35,3.3796275369318907
23,7.78,55.35,3.406459812694938
24,2.7800000000000002,54.35,3.5574732215773692
25,3.7800000000000002,54.35,3.446594589850127
26,4.78,54.35,3.3344333194561044
27,5.78,54.35,3.2406990106823517
28,6.78,54.35,3.1981700294566164
29,7.78,54.35,3.2548354710720067
30,2.7800000000000002,53.35,3.517478095516795
31,3.7800000000000002,53.35,3.4292576414182796
32,4.78,53.35,3.3625846786913423
33,5.78,53.35,3.545911088666776
34,6.78,53.35,3.746397016399332
35,7.78,53.35,4.323288522922935
